Coffee Shop,Rating,Review Count,City,Neighborhood,Place ID,Google Maps Link,Types,Hours
Common Coffee & Cocktails,4.3,120,Doraville,,ChIJBVfB3qSn9YgRuZY45kQOIy4,https://maps.google.com/?cid=3324516639012591289&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"coffee_shop, cafe, food_store, food, point_of_interest, store, establishment",Monday: 10:00 AM – 10:00 PM | Tuesday: 10:00 AM – 10:00 PM | Wednesday: 10:00 AM – 10:00 PM | Thursday: 10:00 AM – 10:00 PM | Friday: 11:00 AM – 11:00 PM | Saturday: 11:00 AM – 11:00 PM | Sunday: 11:00 AM – 11:00 PM
Café Intermezzo (Sandy Springs),4.3,2489,Atlanta,Perimeter Center,ChIJaY3FGl0J9YgRYPbZaAdV7T8,https://maps.google.com/?cid=4606431484182132320&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"cafe, coffee_shop, dessert_shop, confectionery, food_store, store, restaurant, food, point_of_interest, establishment",Monday: 5:00 – 11:00 PM | Tuesday: 5:00 – 11:00 PM | Wednesday: 5:00 – 11:00 PM | Thursday: 5:00 – 11:00 PM | Friday: 5:00 PM – 12:00 AM | Saturday: 10:00 AM – 12:00 AM | Sunday: 10:00 AM – 10:00 PM
Mint Coffeehouse,4.9,314,Tucker,,ChIJ2ypQabC_tokRaM1nEtjN-OY,https://maps.google.com/?cid=16643278750853090664&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"coffee_shop, cafe, coffee_stand, food_store, food, point_of_interest, store, establishment",Monday: 7:30 AM – 7:00 PM | Tuesday: 7:30 AM – 7:00 PM | Wednesday: 7:30 AM – 7:00 PM | Thursday: 7:30 AM – 7:00 PM | Friday: 7:30 AM – 7:00 PM | Saturday: 8:00 AM – 6:00 PM | Sunday: Closed
Henri's Bakery & Café (Sandy Springs),4.3,445,Sandy Springs,,ChIJCShdwpkO9YgROfq1yG0oxMQ,https://maps.google.com/?cid=14178501978853079609&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"deli, cafe, bakery, food_store, food, point_of_interest, store, establishment",Monday: 7:00 AM – 5:00 PM | Tuesday: 7:00 AM – 5:00 PM | Wednesday: 7:00 AM – 5:00 PM | Thursday: 7:00 AM – 5:00 PM | Friday: 7:00 AM – 5:00 PM | Saturday: 7:00 AM – 5:00 PM | Sunday: Closed
Cafe Comma - Sandy Springs,4.2,153,Sandy Springs,,ChIJpaZ-8iIP9YgRLumC85XKjIM,https://maps.google.com/?cid=9479174061092432174&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"coffee_shop, cafe, food_store, food, store, point_of_interest, establishment",Monday: 8:00 AM – 6:00 PM | Tuesday: 8:00 AM – 6:00 PM | Wednesday: 8:00 AM – 6:00 PM | Thursday: 8:00 AM – 6:00 PM | Friday: 8:00 AM – 6:00 PM | Saturday: 8:00 AM – 6:00 PM | Sunday: 8:00 AM – 6:00 PM
White Windmill Bakery and Cafe Doraville,4.4,1202,Doraville,,ChIJA0-40F2n9YgRBeywsjw5YCA,https://maps.google.com/?cid=2332927539836677125&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"bakery, sandwich_shop, coffee_shop, tea_house, dessert_shop, cake_shop, confectionery, cafe, restaurant, wholesaler, food_store, food, point_of_interest, manufacturer, store, establishment",Monday: 7:30 AM – 10:00 PM | Tuesday: 7:30 AM – 10:00 PM | Wednesday: 7:30 AM – 10:00 PM | Thursday: 7:30 AM – 10:00 PM | Friday: 7:30 AM – 11:00 PM | Saturday: 7:30 AM – 11:00 PM | Sunday: 7:30 AM – 10:00 PM
The Bean Counter Northpark,5,13,Sandy Springs,Perimeter Center,ChIJxzOTb1UJ9YgR-xlY2P8f-R8,https://maps.google.com/?cid=2303907868083493371&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"coffee_shop, cafe, food_store, store, food, point_of_interest, establishment",Monday: 7:00 AM – 2:30 PM | Tuesday: 7:00 AM – 2:30 PM | Wednesday: 7:00 AM – 2:30 PM | Thursday: 7:00 AM – 2:30 PM | Friday: 7:00 AM – 2:30 PM | Saturday: Closed | Sunday: Closed
Chattahoochee Coffee Company,4.3,1729,Atlanta,Cumberland,ChIJHdL7-dIR9YgR_vIuc67Dle4,https://maps.google.com/?cid=17191862306580919038&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"coffee_shop, cafe, food_store, store, point_of_interest, food, establishment",Monday: 8:00 AM – 6:00 PM | Tuesday: 8:00 AM – 6:00 PM | Wednesday: 8:00 AM – 6:00 PM | Thursday: 8:00 AM – 6:00 PM | Friday: 8:00 AM – 6:00 PM | Saturday: Closed | Sunday: Closed
Paramount Coffee Shop,4.7,203,Tucker,,ChIJ82hmrSSm9YgRJVUWl0ehJAc,https://maps.google.com/?cid=514713586276652325&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"coffee_shop, cafe, food_store, store, food, point_of_interest, establishment",
Mokhaport Yemeni Coffee,4.9,669,Tucker,,ChIJoYUH8Iyp9YgRwmUxsm-Zy0g,https://maps.google.com/?cid=5245454896013075906&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"coffee_shop, cafe, juice_shop, food_store, food, store, point_of_interest, establishment","Monday: 6:30 AM – 7:00 PM | Tuesday: 6:30 AM – 7:00 PM | Wednesday: 6:30 AM – 7:00 PM | Thursday: 6:30 AM – 7:00 PM | Friday: 6:30 AM – 1:00 PM, 3:00 – 7:00 PM | Saturday: 9:00 AM – 7:00 PM | Sunday: 9:00 AM – 7:00 PM"
PERC Coffee (Tucker),4.3,189,Tucker,,ChIJc1pltDyn9YgR9UuTLXda6f0,https://maps.google.com/?cid=18296254429081586677&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"coffee_shop, cafe, food_store, food, store, point_of_interest, establishment",Monday: 7:00 AM – 6:00 PM | Tuesday: 7:00 AM – 6:00 PM | Wednesday: 7:00 AM – 6:00 PM | Thursday: 7:00 AM – 6:00 PM | Friday: 7:00 AM – 6:00 PM | Saturday: 7:00 AM – 6:00 PM | Sunday: 7:00 AM – 6:00 PM
The Corner Cup Coffee (Tucker),4.8,615,Tucker,,ChIJmTeBW_un9YgRlM1oiv9elNU,https://maps.google.com/?cid=15390030278263623060&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"coffee_shop, cafe, food_store, food, store, point_of_interest, establishment",Monday: 6:00 AM – 5:00 PM | Tuesday: 6:00 AM – 5:00 PM | Wednesday: 6:00 AM – 5:00 PM | Thursday: 6:00 AM – 5:00 PM | Friday: 6:00 AM – 5:00 PM | Saturday: 7:00 AM – 5:00 PM | Sunday: 7:00 AM – 5:00 PM
Perk-N-Pooch,4.4,357,Sandy Springs,,ChIJWVclMScM9YgR5jNoubKSVfI,https://maps.google.com/?cid=17462024426511414246&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"ice_cream_shop, coffee_shop, cafe, dessert_shop, confectionery, food_store, pet_care, food, service, store, point_of_interest, establishment",Monday: 10:00 AM – 5:00 PM | Tuesday: 10:00 AM – 5:00 PM | Wednesday: 10:00 AM – 5:00 PM | Thursday: 10:00 AM – 5:00 PM | Friday: 10:00 AM – 5:00 PM | Saturday: 9:00 AM – 5:00 PM | Sunday: 10:00 AM – 5:00 PM
Lucky Goat Coffee (Dunwoody Park),4.8,155,Dunwoody,,ChIJwcB6n6MJ9YgRZaM-QuLrB_U,https://maps.google.com/?cid=17656340221135856485&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"coffee_shop, cafe, food_store, food, point_of_interest, store, establishment",Monday: 7:00 AM – 6:00 PM | Tuesday: 7:00 AM – 6:00 PM | Wednesday: 7:00 AM – 6:00 PM | Thursday: 7:00 AM – 6:00 PM | Friday: 7:00 AM – 6:00 PM | Saturday: 7:00 AM – 6:00 PM | Sunday: 8:00 AM – 6:00 PM
Postern Coffee,4.7,170,Doraville,,ChIJv7ytaAAJ9YgRAe5TNfDtYGM,https://maps.google.com/?cid=7160985023461715457&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"coffee_shop, coffee_roastery, cafe, food_store, food, point_of_interest, store, establishment",Monday: 7:00 AM – 4:00 PM | Tuesday: 7:00 AM – 4:00 PM | Wednesday: 7:00 AM – 4:00 PM | Thursday: 7:00 AM – 4:00 PM | Friday: 7:00 AM – 4:00 PM | Saturday: 9:00 AM – 4:00 PM | Sunday: 9:00 AM – 4:00 PM
Perks Coffee & Nom Station,4.1,168,Marietta,Cumberland,ChIJKzNaW3sR9YgRLASak27lN3w,https://maps.google.com/?cid=8950875047507657772&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"tea_house, dessert_shop, confectionery, food_store, food, store, point_of_interest, establishment",Monday: 7:00 AM – 6:00 PM | Tuesday: 7:00 AM – 6:00 PM | Wednesday: 7:00 AM – 6:00 PM | Thursday: 7:00 AM – 6:00 PM | Friday: 7:00 AM – 6:00 PM | Saturday: 8:00 AM – 6:00 PM | Sunday: 9:00 AM – 6:00 PM
Books & Brew,4.8,73,Tucker,,ChIJQ0EUDQCn9YgRUjoOCCzVd3g,https://maps.google.com/?cid=8680641191870347858&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"bar, point_of_interest, establishment",Monday: Closed | Tuesday: Closed | Wednesday: 11:00 AM – 9:00 PM | Thursday: 11:00 AM – 9:00 PM | Friday: 11:00 AM – 12:00 AM | Saturday: 11:00 AM – 12:00 AM | Sunday: 11:00 AM – 7:00 PM
Rosie Mae's Alpaca Farm and boutique,4.9,414,Wildwood,,ChIJRW-iZ49bYIgRT69u2O9tO3g,https://maps.google.com/?cid=8663639185073024847&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"tourist_attraction, coffee_shop, cafe, clothing_store, food_store, store, point_of_interest, food, establishment",Monday: 10:00 AM – 2:00 PM | Tuesday: 10:00 AM – 2:00 PM | Wednesday: 10:00 AM – 2:00 PM | Thursday: 10:00 AM – 2:00 PM | Friday: 10:00 AM – 6:00 PM | Saturday: 10:00 AM – 6:00 PM | Sunday: 12:00 – 5:00 PM
Ark Coffeehaus,4.9,268,Atlanta,,ChIJPyGZr2oJ9YgRhdh74RLlHkM,https://maps.google.com/?cid=4836554919097653381&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"coffee_shop, cafe, food_store, food, point_of_interest, store, establishment",Monday: 7:00 AM – 4:00 PM | Tuesday: 7:00 AM – 4:00 PM | Wednesday: 7:00 AM – 4:00 PM | Thursday: 7:00 AM – 4:00 PM | Friday: 7:00 AM – 4:00 PM | Saturday: 7:00 AM – 4:00 PM | Sunday: Closed
Summit Coffee Dunwoody,4.6,167,Dunwoody,Dunwoody Village,ChIJ52QN5kQL9YgRFFRhpkGbVmw,https://maps.google.com/?cid=7806597710359909396&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"coffee_shop, cafe, food_store, point_of_interest, food, store, establishment",Monday: 7:00 AM – 6:00 PM | Tuesday: 7:00 AM – 6:00 PM | Wednesday: 7:00 AM – 6:00 PM | Thursday: 7:00 AM – 6:00 PM | Friday: 7:00 AM – 7:00 PM | Saturday: 7:00 AM – 7:00 PM | Sunday: 7:00 AM – 6:00 PM
Valor Coffee (Dunwoody),4.7,428,Dunwoody,Dunwoody Village,ChIJxcJCHi4L9YgRS3JJyrVlxH0,https://maps.google.com/?cid=9062480181633577547&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"coffee_shop, cafe, food_store, store, food, point_of_interest, establishment",Monday: 7:00 AM – 5:00 PM | Tuesday: 7:00 AM – 5:00 PM | Wednesday: 7:00 AM – 5:00 PM | Thursday: 7:00 AM – 5:00 PM | Friday: 7:00 AM – 5:00 PM | Saturday: 8:00 AM – 5:00 PM | Sunday: 8:00 AM – 5:00 PM
